WC	82.5	29.0
WD	83.3	29.4
WE	83.7	29.4
WF	44.8	85.9
WG	36.8	88.1
WH	83.3	32.3
WI	82.7	28.5
WJ	80.6	33.6
WM	83.4	28.0
WN	39.7	86.4
WO	83.1	26.1
WP	83.4	28.5
WQ	83.4	29.3
W2	79.1	31.1
W3	83.5	29.7
W4	83.1	28.7
W5	0.0	0.0
W6	84.3	29.0
W7	81.0	28.2
WS	82.9	30.3
WT	83.8	26.3
WU	82.0	31.0
WV	83.3	27.7
WW	83.4	30.1
WX	84.1	29.0
WY	83.4	30.9
WZ	83.4	27.3
XA	82.2	30.5
XB	36.1	86.9
XC	50.1	30.5
XD	80.7	30.0
XE	83.5	29.3
XF	83.6	31.2
XG	83.1	29.8
XH	81.2	30.6
XI	0.0	0.0
XJ	84.2	28.3
XK	84.0	29.7
XL	83.1	27.2
XM	82.8	31.3
XN	82.3	30.3
XO	82.4	29.0
XP	84.2	27.0
XQ	83.9	29.3
XR	82.3	28.7
XS	81.5	30.8
XT	82.0	31.5
XU	83.1	30.6
XV	83.5	29.9
X2	83.8	28.6
X3	83.7	24.3
X4	83.3	29.0
X5	36.4	82.4
X6	81.6	32.2
X7	0.0	0.0
XW	83.2	28.0
XX	84.0	27.8
XY	39.5	89.2
XZ	81.0	28.2
YA	32.1	81.3
YB	83.7	30.9
YC	34.6	86.8
YD	0.0	0.0
YE	83.4	29.2
YF	36.2	91.3
YG	35.4	86.8
YH	83.1	30.6
YI	82.7	28.0
YJ	81.3	30.0
Y2	43.2	88.5
Y3	51.5	29.5
YK	80.6	30.7
YL	82.8	27.8
YM	81.4	27.7
YN	83.4	29.8
YO	81.0	30.5
YP	37.1	88.3
YQ	0.0	0.0
YR	80.3	31.4
YS	83.2	30.0
YT	82.4	30.4
YU	80.6	30.6
YV	81.5	31.9
YW	36.4	90.2
YX	83.2	30.8
YY	33.9	86.6
YZ	83.1	29.4
Y4	81.3	31.1
Y5	82.6	29.2
Y6	27.8	61.5
Y7	83.6	28.2
ZA	82.3	31.7
ZB	82.6	29.7
ZC	82.0	34.1
ZD	82.3	27.9
ZE	81.1	30.4
ZF	83.7	30.8
ZG	83.3	30.4
ZH	81.8	29.8
ZI	82.3	30.1
ZJ	81.9	29.3
ZK	81.5	31.8
ZL	0.0	0.0
ZM	81.1	29.2
ZN	0.0	0.0
ZO	0.0	0.0
ZP	81.9	31.1
2A	43.3	89.4
2B	34.3	83.8
2C	81.1	30.3
Z2	84.2	29.1
Z3	83.2	30.6
Z4	82.5	30.4
Z5	41.8	78.7
Z6	80.1	30.8
Z7	83.2	30.8
ZQ	37.5	87.4
ZR	80.9	29.5
ZS	80.4	31.2
ZT	81.1	29.0
ZU	82.8	31.2
ZV	83.3	29.1
ZW	80.8	30.6
ZX	83.2	31.0
ZY	35.6	88.0
ZZ	83.1	29.3
2D	83.5	30.5
2E	82.8	30.1
2F	79.4	31.7
2G	80.8	30.2
2H	83.6	26.9
2I	38.9	85.8
2J	81.5	30.0
2K	35.0	90.1
2M	81.3	30.9
2N	82.1	30.5
2O	83.0	30.0
2P	83.3	29.0
2Q	83.3	33.3
2R	36.3	88.0
2S	36.7	89.7
2T	37.0	86.6
2U	81.1	28.4
2V	36.0	88.2
2W	80.4	30.6
22	83.7	27.6
23	81.9	30.6
24	84.1	28.3
25	81.3	29.3
26	81.9	28.0
27	43.4	88.3
2X	82.8	29.8
2Z	83.6	29.0
3A	34.2	87.4
3B	34.3	89.5
3C	81.0	30.0
3D	81.3	31.9
3E	84.2	27.8
3F	40.7	89.5
3G	83.8	23.1
3H	83.3	28.0
3I	40.4	64.9
3K	83.0	28.2
3L	80.9	30.9
3O	83.7	24.8
3P	82.6	29.7
3Q	82.4	30.2
3R	38.5	90.1
3S	33.0	81.9
3T	0.0	0.0
3U	80.4	32.2
3V	81.7	32.0
3W	39.8	86.6
3X	81.8	30.1
32	83.9	27.1
33	35.2	84.9
34	83.2	27.0
35	81.2	32.2
36	83.4	26.2
37	0.0	0.0
3Y	82.9	29.3
3Z	82.0	29.0
4A	80.1	31.0
4B	80.1	30.8
4D	82.7	31.8
4E	83.2	30.1
4F	35.5	69.4
4G	83.6	29.6
4H	81.0	31.3
4I	83.3	26.5
4J	80.4	31.2
4K	83.4	29.6
42	83.3	24.7
43	79.7	31.1
44	83.4	30.8
4L	83.3	28.3
4M	83.4	30.6
4N	81.3	31.2
4O	83.2	28.8
4P	81.8	30.6
4Q	83.0	28.2
4R	42.0	79.9
4S	84.1	30.1
4T	83.9	25.0
4U	81.3	30.6
4V	81.0	29.1
4W	82.5	29.6
4X	83.3	28.4
4Y	83.5	31.0
4Z	33.7	88.8
45	82.9	29.9
46	81.7	29.2
47	83.3	30.6
5A	82.1	30.7
5B	81.7	30.0
5C	82.7	30.3
5D	82.5	29.2
5E	82.7	30.6
5F	82.7	26.5
5G	34.3	87.0
5J	83.2	27.0
5K	33.0	82.5
5L	0.0	0.0
5M	81.1	32.6
5N	36.4	89.2
5O	84.3	30.7
5P	83.8	29.8
52	83.4	28.1
53	83.7	29.3
54	41.3	69.8
55	81.8	28.8
56	82.7	32.5
57	81.8	30.9
5Q	41.8	81.7
5R	82.8	24.7
5S	83.0	27.2
5T	81.3	30.7
5U	82.4	28.7
5V	82.9	29.3
5W	81.2	31.6
5X	84.1	28.5
5Y	83.3	30.6
5Z	79.9	31.2
6A	81.0	28.8
6B	82.6	30.1
6C	81.9	29.6
6D	83.4	30.1
6E	82.0	30.0
6F	40.3	88.8
6G	79.3	28.8
6H	82.5	29.2
6I	82.5	32.7
6J	37.2	88.9
6K	82.8	30.2
6L	81.6	30.7
6M	82.8	28.9
6N	42.7	87.3
6O	33.4	87.7
6P	82.2	30.7
6Q	83.8	28.0
6R	0.0	0.0
6S	82.1	29.2
